GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Rate(%),Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date,
07AAACB2894G1ZP,Bharti Airtel Limited,HT2307I006093762,Regular,03/01/2023,590.00,Delhi,No,18,500.00,0.00,45.00,45.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,5cc6a3c48ab04ca25b632cafadc4704277a2294765197463487110a53a72acce,03/01/2023,
07AAACB2894G1ZP,Bharti Airtel Limited,HT2307I006128153,Regular,03/01/2023,209257.66,Delhi,No,18,177337.02,0.00,15960.32,15960.32,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,56542b3c4c44384cb55c25ec976e9b6b5704b4c4110411e1f0e5c9b97fb628ba,03/01/2023,
07AAACB2894G1ZP,Bharti Airtel Limited,HT2307I006685812,Regular,27/01/2023,1768.82,Delhi,No,18,1499.00,0.00,134.91,134.91,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,cc3c6ba3930150a88cda7bbed9a2a53c49f2a9127b482d8a18432095bdac3167,27/01/2023,shivam
29AFLPN6622D1ZB,IZAR TECNOLOGY SOLUTIONS,IZTS/172/2022-23,Regular,07/12/2022,20815.00,Delhi,No,18,17640.00,3175.20,0.00,0.00,0.00,Dec'22,19/01/2023,Yes,,100%,,,,
27AAACR2730D1ZU,NETCORE CLOUD PRIVATE LIMITED,221011585,Regular,18/01/2023,1003.00,Delhi,No,18,850.17,153.03,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,robin singh meena
27AAICC2895E1ZH,CFO BRIDGE SERVICES PRIVATE LIMITED,56/Jan/2022-23,Regular,28/01/2023,147500.00,Delhi,No,18,125000.00,22500.00,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,2e5d3257950e1966cbae0edf2fb85e4b1e058c8e96c2b6e615a2297ebe7c97df,28/01/2023,
09AAECP5323J2Z9,PACEX-E-SYSTEMS PVT.LTD.,UP/2022-23/33,Regular,01/12/2022,1416.00,Delhi,No,18,1200.00,216.00,0.00,0.00,0.00,Dec'22,09/02/2023,Yes,,100%,,,,
33AABCI2726B1Z9,INTERGLOBE AVIATION LIMITED,TN1222301BP60794,Regular,21/01/2023,7770.00,Delhi,No,5,7400.00,370.00,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
09AALCS7084A1Z5,SICCES PRIVATE LIMITED,COM-2022-23/132,Regular,10/01/2023,31112.00,Delhi,No,18,26366.00,4745.88,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
33AAACZ5230C1ZU,ZOHO TECHNOLOGIES PRIVATE LIMITED,102223197437,Regular,08/01/2023,32229.99,Delhi,No,18,27313.55,4916.44,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,E-Invoice,0cc28dfc3dc3aa23510ccec630ca0174e375ddd8b62bf82c3e101f04113d6835,09/01/2023,
33AAACZ5230C1ZU,ZOHO TECHNOLOGIES PRIVATE LIMITED,102223197450,Regular,08/01/2023,55306.22,Delhi,No,18,46869.68,8436.54,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,E-Invoice,93bf3525ce5ea7f8f76ca2b6afc334b719050335d99075d7d37bb89dc57b42e5,09/01/2023,
33AAACZ5230C1ZU,ZOHO TECHNOLOGIES PRIVATE LIMITED,102223197457,Regular,09/01/2023,4248.00,Delhi,No,18,3600.00,648.00,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,E-Invoice,3ae7b718518dfd5ddfd160dcb7b189232b478df4177387aca7274ccc586b07d4,09/01/2023,
33AAACZ5230C1ZU,ZOHO TECHNOLOGIES PRIVATE LIMITED,102223202341,Regular,15/01/2023,1096.26,Delhi,No,18,929.03,167.23,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,E-Invoice,7b88adf05ff630b6d9c62f74fdb2c9baf98db0465f9a013f23f334a8f881410b,16/01/2023,
33AAACZ5230C1ZU,ZOHO TECHNOLOGIES PRIVATE LIMITED,102223202698,Regular,16/01/2023,5310.00,Delhi,No,18,4500.00,810.00,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,E-Invoice,5661c97bc69b76d317cb503f98bc4134690bf58496a5d046cf95b20d052a55fa,16/01/2023,
33AAACZ5230C1ZU,ZOHO TECHNOLOGIES PRIVATE LIMITED,102223205376,Regular,19/01/2023,3894.00,Delhi,No,18,3300.00,594.00,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,E-Invoice,c10fb669461cbb37173945b3f5ba5a41ffd1336643c1f60060143d32fc608eab,19/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200176366,Regular,01/01/2023,63366.70,Delhi,No,18,53700.60,0.00,4833.05,4833.05,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,fd0d07e8c5c2e86c4a16dc4e5228959aac4f1b6c913f6111a764ae5334aea862,05/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200176383,Regular,01/01/2023,13272.64,Delhi,No,18,11248.00,0.00,1012.32,1012.32,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,4c7b15aed6fac9483041c8b94b975909225cd411eeb6d0aab63a6d13231273d9,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200176462,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,6f38b5a0cf89ba69026303bcbf5b2f1fdfa8ccf5925a3835ba9f82947f83f925,03/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200176781,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,159fb20d60708d7c1103a89865a864279865010dc58dbbc58cafd67a186c6838,03/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177117,Regular,01/01/2023,1180.00,Delhi,No,18,1000.00,0.00,90.00,90.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,43dacf67316015b7461cbe56fc0a1e3a61de92bd6fd8df677dc5c0e77b2bcbd1,05/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177120,Regular,01/01/2023,11800.00,Delhi,No,18,10000.00,0.00,900.00,900.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,4309ac1571a892dffa555142aa5a6db547599fd9b25196274ace0358a1894834,03/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177387,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,14a3ebdd2f2ff31107944a3132e9881eb202f8b3e6619b369e55e75011b419fb,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177395,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,06091d76c8e14dc9f5bc2c2d5b473661d5cf12ea9cc62592c812ec284205f977,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177396,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,a178da8f6a80a9aae70f798956f1f612319fdaf4e048ac4a02b1def4bdde3eb9,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177402,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,e53dc69a5ca14c088d0c901197e6461d5de75f2291c366eda7488e6787e6679c,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177403,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,bbed9274f945e877a7c125aa3ca46c137f70c6c89ed6bc74006b7b500db9c7cb,04/01/2023,
07AAACB2100P1ZZ,VODAFONE IDEA LIMITED,EIDL122200177406,Regular,01/01/2023,472.00,Delhi,No,18,400.00,0.00,36.00,36.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,fd622d6c2442f9eb87ec54c3a1753a725aff17f19f622f569a94c59f49e63895,04/01/2023,
